timestamp,latitude,longitude,incident_type,elephant_count,crop_damage_hectares,village_name,district,province,reported_by,description
2022-01-01 23:00:00,8.4939,80.5402,crop_raid,4,3.27,Kebithigollewa,Anuradhapura,North Central,Farmer_70,Crop Raid reported in Kebithigollewa
2022-01-02 17:00:00,8.1748,80.9344,property_damage,2,0.0,Welikanda,Polonnaruwa,North Central,Farmer_2,Property Damage reported in Welikanda
2022-01-02 09:00:00,7.4339,81.7971,crop_raid,7,3.55,Padiyatalawa,Ampara,Eastern,Farmer_22,Crop Raid reported in Padiyatalawa
2022-01-02 13:00:00,7.4664,81.7986,crop_raid,6,0.91,Mahaoya,Ampara,Eastern,Farmer_16,Crop Raid reported in Mahaoya
2022-01-03 08:00:00,7.9752,81.0926,crop_raid,4,3.06,Hingurakgoda,Polonnaruwa,North Central,Farmer_86,Crop Raid reported in Hingurakgoda
2022-01-03 23:00:00,7.4623,81.758,crop_raid,2,3.66,Mahaoya,Ampara,Eastern,Farmer_46,Crop Raid reported in Mahaoya
2022-01-03 17:00:00,7.2287,81.6493,elephant_death,2,0.0,Uhana,Ampara,Eastern,Farmer_64,Elephant Death reported in Uhana
2022-01-05 01:00:00,7.9867,81.142,crop_raid,4,1.49,Dimbulagala,Polonnaruwa,North Central,Farmer_3,Crop Raid reported in Dimbulagala
2022-01-06 06:00:00,8.4001,80.339,human_injury,2,0.0,Kebithigollewa,Anuradhapura,North Central,Farmer_62,Human Injury reported in Kebithigollewa
2022-01-07 23:00:00,7.2229,81.7085,crop_raid,2,3.36,Uhana,Ampara,Eastern,Farmer_70,Crop Raid reported in Uhana
2022-01-08 23:00:00,7.8532,80.9211,human_injury,3,0.0,Hingurakgoda,Polonnaruwa,North Central,Farmer_76,Human Injury reported in Hingurakgoda
2022-01-08 11:00:00,7.1131,81.5801,crop_raid,6,3.81,Padiyatalawa,Ampara,Eastern,Farmer_27,Crop Raid reported in Padiyatalawa
2022-01-11 00:00:00,8.27,80.6959,property_damage,1,0.0,Kebithigollewa,Anuradhapura,North Central,Farmer_41,Property Damage reported in Kebithigollewa
2022-01-13 14:00:00,8.0702,81.1563,crop_raid,1,3.0,Hingurakgoda,Polonnaruwa,North Central,Farmer_10,Crop Raid reported in Hingurakgoda
2022-01-14 22:00:00,8.4142,80.586,crop_raid,6,3.85,Horowpothana,Anuradhapura,North Central,Farmer_44,Crop Raid reported in Horowpothana
2022-01-14 12:00:00,8.1975,80.5248,property_damage,2,0.0,Mihintale,Anuradhapura,North Central,Farmer_70,Property Damage reported in Mihintale
2022-01-14 09:00:00,7.1089,81.7511,crop_raid,3,2.73,Padiyatalawa,Ampara,Eastern,Farmer_65,Crop Raid reported in Padiyatalawa
2022-01-15 10:00:00,8.1369,80.6041,property_damage,2,0.0,Kebithigollewa,Anuradhapura,North Central,Farmer_57,Property Damage reported in Kebithigollewa
2022-01-16 04:00:00,7.4815,81.5961,property_damage,2,0.0,Mahaoya,Ampara,Eastern,Farmer_64,Property Damage reported in Mahaoya
2022-01-18 13:00:00,8.5071,80.5236,human_injury,1,0.0,Nochchiyagama,Anuradhapura,North Central,Farmer_84,Human Injury reported in Nochchiyagama
2022-01-21 18:00:00,6.6889,81.1502,crop_raid,7,0.44,Buttala,Monaragala,Uva,Farmer_4,Crop Raid reported in Buttala
2022-01-21 22:00:00,7.0203,81.6519,crop_raid,6,4.51,Damana,Ampara,Eastern,Farmer_16,Crop Raid reported in Damana
2022-01-22 15:00:00,8.0891,80.8111,elephant_death,1,0.0,Dimbulagala,Polonnaruwa,North Central,Farmer_30,Elephant Death reported in Dimbulagala
2022-01-23 00:00:00,7.0578,81.5271,property_damage,1,0.0,Damana,Ampara,Eastern,Farmer_15,Property Damage reported in Damana
2022-01-23 20:00:00,6.0326,81.0674,crop_raid,5,0.93,Weerawila,Hambantota,Southern,Farmer_79,Crop Raid reported in Weerawila
2022-01-23 02:00:00,6.1893,81.387,property_damage,2,0.0,Weerawila,Hambantota,Southern,Farmer_73,Property Damage reported in Weerawila
2022-01-24 07:00:00,7.9829,80.9108,crop_raid,6,4.33,Welikanda,Polonnaruwa,North Central,Farmer_47,Crop Raid reported in Welikanda
2022-01-24 06:00:00,6.3019,81.3208,crop_raid,4,4.1,Tissamaharama,Hambantota,Southern,Farmer_40,Crop Raid reported in Tissamaharama
2022-01-25 04:00:00,6.3135,81.1386,crop_raid,1,4.09,Weerawila,Hambantota,Southern,Farmer_88,Crop Raid reported in Weerawila
2022-01-26 11:00:00,8.1716,80.62,crop_raid,4,3.41,Kebithigollewa,Anuradhapura,North Central,Farmer_61,Crop Raid reported in Kebithigollewa
2022-01-27 12:00:00,8.508,80.6629,crop_raid,3,1.84,Mihintale,Anuradhapura,North Central,Farmer_77,Crop Raid reported in Mihintale
2022-01-27 18:00:00,8.1866,80.8695,crop_raid,3,0.21,Dimbulagala,Polonnaruwa,North Central,Farmer_38,Crop Raid reported in Dimbulagala
2022-01-28 06:00:00,8.3007,80.4881,crop_raid,2,1.96,Horowpothana,Anuradhapura,North Central,Farmer_96,Crop Raid reported in Horowpothana
2022-01-28 07:00:00,6.6985,81.2434,property_damage,3,0.0,Katharagama,Monaragala,Uva,Farmer_61,Property Damage reported in Katharagama
2022-01-29 14:00:00,6.1813,81.202,crop_raid,7,2.88,Thanamalwila,Hambantota,Southern,Farmer_81,Crop Raid reported in Thanamalwila
2022-01-30 21:00:00,6.5661,81.1207,property_damage,1,0.0,Medagana,Monaragala,Uva,Farmer_52,Property Damage reported in Medagana
2022-02-02 04:00:00,6.6337,81.1091,property_damage,1,0.0,Wellawaya,Monaragala,Uva,Farmer_14,Property Damage reported in Wellawaya
2022-02-02 08:00:00,8.0208,81.1814,crop_raid,7,4.82,Dimbulagala,Polonnaruwa,North Central,Farmer_38,Crop Raid reported in Dimbulagala
2022-02-04 21:00:00,6.3884,81.1309,crop_raid,7,2.9,Weerawila,Hambantota,Southern,Farmer_86,Crop Raid reported in Weerawila
2022-02-06 11:00:00,6.0884,81.2124,crop_raid,6,2.38,Thanamalwila,Hambantota,Southern,Farmer_95,Crop Raid reported in Thanamalwila
2022-02-07 00:00:00,6.9996,81.0439,crop_raid,3,1.66,Katharagama,Monaragala,Uva,Farmer_2,Crop Raid reported in Katharagama
2022-02-09 22:00:00,6.0743,81.1875,crop_raid,7,0.37,Thanamalwila,Hambantota,Southern,Farmer_24,Crop Raid reported in Thanamalwila
2022-02-10 12:00:00,8.2627,80.5561,human_injury,3,0.0,Mihintale,Anuradhapura,North Central,Farmer_51,Human Injury reported in Mihintale
2022-02-11 13:00:00,8.1858,81.0223,crop_raid,7,4.36,Welikanda,Polonnaruwa,North Central,Farmer_34,Crop Raid reported in Welikanda
2022-02-11 04:00:00,8.4969,80.5096,human_injury,2,0.0,Kebithigollewa,Anuradhapura,North Central,Farmer_75,Human Injury reported in Kebithigollewa
2022-02-12 06:00:00,8.0042,80.9949,crop_raid,3,2.0,Medirigiriya,Polonnaruwa,North Central,Farmer_17,Crop Raid reported in Medirigiriya
2022-02-12 12:00:00,8.1854,81.0181,crop_raid,4,4.29,Medirigiriya,Polonnaruwa,North Central,Farmer_60,Crop Raid reported in Medirigiriya
2022-02-12 11:00:00,7.3272,81.7067,crop_raid,2,1.67,Mahaoya,Ampara,Eastern,Farmer_13,Crop Raid reported in Mahaoya
2022-02-13 14:00:00,7.8273,81.1469,crop_raid,6,4.9,Welikanda,Polonnaruwa,North Central,Farmer_58,Crop Raid reported in Welikanda
2022-02-13 14:00:00,6.0582,81.0854,crop_raid,5,2.75,Weerawila,Hambantota,Southern,Farmer_83,Crop Raid reported in Weerawila
2022-02-14 03:00:00,7.819,80.8797,crop_raid,3,3.92,Medirigiriya,Polonnaruwa,North Central,Farmer_27,Crop Raid reported in Medirigiriya
2022-02-14 16:00:00,6.8418,81.2517,crop_raid,5,0.87,Katharagama,Monaragala,Uva,Farmer_89,Crop Raid reported in Katharagama
2022-02-15 12:00:00,8.1534,80.5733,property_damage,3,0.0,Kebithigollewa,Anuradhapura,North Central,Farmer_70,Property Damage reported in Kebithigollewa
2022-02-15 10:00:00,7.3772,81.6108,crop_raid,5,0.91,Uhana,Ampara,Eastern,Farmer_28,Crop Raid reported in Uhana
2022-02-15 05:00:00,7.3159,81.4567,property_damage,1,0.0,Uhana,Ampara,Eastern,Farmer_80,Property Damage reported in Uhana
2022-02-16 06:00:00,7.432,81.3816,property_damage,3,0.0,Padiyatalawa,Ampara,Eastern,Farmer_82,Property Damage reported in Padiyatalawa
2022-02-17 12:00:00,6.3456,81.1627,crop_raid,7,3.09,Thanamalwila,Hambantota,Southern,Farmer_81,Crop Raid reported in Thanamalwila
2022-02-17 15:00:00,6.2941,81.3153,crop_raid,4,2.74,Tissamaharama,Hambantota,Southern,Farmer_28,Crop Raid reported in Tissamaharama
2022-02-18 10:00:00,6.1234,81.4994,human_injury,2,0.0,Thanamalwila,Hambantota,Southern,Farmer_25,Human Injury reported in Thanamalwila
